id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q56876342,Supreme Leader of North Korea,Q423,Q423,,,1940,,,,Supreme Leader (North Korean title)
Q7240364,Premier of North Korea,Q423,Q423,,,1948-09-09,,,,Premier of North Korea
Q24863173,Vice Premier of North Korea,Q423,,,,,,,,Vice Premier of North Korea
Q113947153,Minister of Atomic Energy Industry,,Q423,,,,,,,
Q113947161,Minister of Construction and Building-Materials Industry,,Q423,,,,,,,
Q113947301,Minister of State Construction Control,,Q423,,,,,,,
Q113947195,Minister of Culture,,Q423,,,,,,,
Q113947130,Minister of Finance (North Korea),,Q423,,,,,,,
Q113470538,Minister of Foreign Affairs of the Democratic People's Republic of Korea,,Q423,,,,,,,
Q113947137,Minister of Foreign Trade of North Korea,,Q423,,,,,,,
Q113947226,Minister of Forestry,,Q423,,,,,,,
Q113947388,Minister of Justice of North Korea,,Q423,,,,,,,
Q113947249,Minister of Labor,,Q423,,,,,,,
Q113947277,Minister of Light Industry,,Q423,,,,,,,
Q113947341,Minister of State Natural Resources Development,,Q423,,,,,,,
Q113947125,Minister of Post and Telecommunications,,Q423,,,,,,,
Q113947138,Minister of Public Health of North Korea,,Q423,,,,,,,
