item,itemLabel,position,positionLabel,start,psid
Q105159427,Ri Song-hak,Q24863173,Vice Premier of North Korea,2021-01-18,Q105159427-B91EEE76-C6C2-4BCD-BA99-57B9A52E0198
Q105706437,Jon Hyon-chol,Q24863173,Vice Premier of North Korea,2021-01-18,Q105706437-808647A3-D191-4CBD-A83A-C5C2203D4B12
Q114088685,Ri Chang-dae,Q114594459,Minister of State Security,2022-06,Q114088685-D1EA1944-3BA3-4855-8D94-CA910730BA40
Q114593868,Chae Song-hak,Q114593476,President of the Central Bank of the Democratic People's Republic of Korea,2021-01-18,Q114593868-CDF49598-4035-4BC1-9C85-ED1667DD5769
Q114593869,Choe Kyong-chol,Q113947138,Minister of Public Health of North Korea,2021-01-18,Q114593869-951C8B22-CFBD-4B2B-92B4-01B2AFE02B23
Q114593870,Im Kyong-jae,Q114593457,Minister of Urban Management of the Democratic People's Republic of Korea,2021-01-18,Q114593870-71DF7032-759D-4DF4-8D81-AD24EE37DE67
Q114593871,Jang Chun-song,Q114593696,Minister of Railways,2021-01-18,Q114593871-52E42936-AA20-4AAC-848A-D3E148E96129
Q114593873,Jon Hak-chol,Q114593340,Minister of the Coal Industry of North Korea,2021-01-18,Q114593873-5F1DB559-7C02-4C42-860D-408FF61182F9
Q114593874,Ju Chol-gyu,Q114593691,Minister of Agriculture,2021-01-18,Q114593874-6ABC8260-CD06-42D8-89E4-77D5511DFEA0
Q114593874,Ju Chol-gyu,Q24863173,Vice Premier of North Korea,2021-01-18,Q114593874-63A99AA1-1E6C-4F5E-8544-3CC472FD263D
Q114593876,Kim Chung-song,Q113947341,Minister of State Natural Resources Development,2021-01-18,Q114593876-A6BBE059-62D7-4069-B5D2-9AE3A1283401
Q114593877,Kim Song-ryong,Q24863173,Vice Premier of North Korea,2021-01-18,Q114593877-2325C7D8-E0A7-473F-B42A-B4A1C9514D4B
Q114593878,Kim Sung-jin,Q114593490,President of the Academy of Sciences of the Democratic People's Republic of Korea,2021-01-18,Q114593878-C0CF69A2-5ABA-449D-A411-4128D16246B9
Q114593879,Kim Yu-il,Q114593639,Minister of the Electric Power Industry of North Korea,2021-01-18,Q114593879-B4BF7CEA-953B-4806-BD6A-0A9A06D336B7
Q114593880,Ko Jong-bom,Q113947130,Minister of Finance (North Korea),2021-01-18,Q114593880-7FE7DFA0-AFE5-4C0B-9FF3-2D5D390A4944
Q114593881,Ma Jong-son,Q114593315,Minister of Chemical Industry of North Korea,2021-01-18,Q114593881-3437DC73-B428-4C27-B17F-D31C5590D76B
Q114593884,Ri Chol-san,Q114593604,Director of the Central Bureau of Statistics of North Korea,2021-01-18,Q114593884-75942FC5-EAF2-426E-BCFE-83033B26E697
Q114593885,Ri Hyok-gwon,Q113947301,Minister of State Construction Control,2021-01-18,Q114593885-2D570DE5-D2F9-45E0-9164-068D2122ECEA
Q114593886,So Jong-jin,Q113947161,Minister of Construction and Building-Materials Industry,2021-01-18,Q114593886-D340FA19-731C-4996-9F5D-7632B39FA983
Q114593887,Sung Jong-gyu,Q113947195,Minister of Culture,2021-01-18,Q114593887-05F6A8D1-E9A9-45EE-A197-B35BE5D434D1
Q114593888,Yun Jong-ho,Q113947137,Minister of Foreign Trade of North Korea,2021-01-18,Q114593888-5BA43B83-D123-4A98-829C-8F6DFA76DF72
Q114594317,Kwak Jong Jun,Q114593358,Minister of Commerce,2022-06-10,Q114594317-B175F43E-6673-4515-84EE-7DA2B8F64EE0
Q114594333,Ri Tu Il,Q114593575,Chairperson of the State Science and Technology Commission,2022-06-10,Q114594333-F6565D03-EB7F-40DE-94AF-C40C82F1A0C2
Q114594345,Pak Hyong Ryol,Q114593694,Minister of Food Procurement and Administration,2022-06-10,Q114594345-B73EA98F-0F92-4D14-A925-61527FD40319
Q114594370,Jin Kum Song,Q113947249,Minister of Labor,2021-01-18,Q114594370-B501A1F4-5672-4C48-9873-1572A1686C39
Q114595445,Jon Sung Guk,Q24863173,Vice Premier of North Korea,2022-06-10,Q114595445-595f6a2e-468d-6dad-a3cf-1f3159999c71
Q114595747,Kim Sung Chan,Q114593402,Minister of Higher Education of North Korea,2021-06,Q114595747-54A097A6-1945-45CB-93DE-D17008B9EE98
Q114595858,Kim Jong Nam,Q114593420,Minister of Machine-Building Industry of North Korea,2020-04,Q114595858-e8300236-492e-d341-6c59-5e4a27722274
Q12594419,Ri Yong-gil,Q114595547,Minister of National Defence,2021-09-29,Q12594419-80E54E38-2678-44C2-8F09-01E47312BC98
Q12597103,Pak Jong-gun,Q114593584,Chairperson of the State Planning Commission of North Korea,2021-01-18,Q12597103-A4109B33-5583-4B7A-970B-C410BBCAB938
Q12597103,Pak Jong-gun,Q24863173,Vice Premier of North Korea,2021-01-18,Q12597103-3A09C698-45A2-4060-8A6D-AFB330B9138F
Q12616929,Jo Yong-chol,Q114593695,Minister of Local Industry,2021-01-18,Q12616929-72DABAC8-03D8-47F1-BD88-35C3E6227A74
Q16179930,Kim Chung-gol,Q114593410,Minister of Metal Industry of the Democratic People's Republic of Korea,2021-01-18,Q16179930-8A9667F1-66CC-46CB-B95B-691C325A9A11
Q16904817,Kang Jong-gwan,Q114593273,Minister of Land and Maritime Transport,2021-01-18,Q16904817-9D7F59A1-F923-48E0-8EEC-EE6E09FC7EEB
Q16907639,Kim Sung-du,Q114593549,President of the Board of Education,2021-01-18,Q16907639-DD3F9813-98BF-4A0B-8AFF-4F3CA4147C02
Q21651765,Jang Kyong-il,Q113947277,Minister of Light Industry,2021-01-18,Q21651765-8C9E2919-5A1A-45E7-953D-BD0CCA913674
Q25035961,Kim Tok-hun,Q7240364,Premier of North Korea,2020-08-13,Q25035961-6f0c8fcd-41d5-94c7-940a-868cf8570da2
Q30436217,Choe Son-hui,Q113470538,Minister of Foreign Affairs of the Democratic People's Republic of Korea,2022-06-11,Q30436217-c277791f-4148-48de-0364-9dace1cecb32
Q39670004,Yu Chol-u,Q114595990,Director of the National Aerospace Development Administration,2013,Q39670004-7aea2ba9-4baa-dc81-fa9c-4c2b340c0d43
Q55708195,Ri Son-gwon,Q114595975,Chairperson of the Committee for the Peaceful Reunification of the Fatherland,2016,Q55708195-63b33fe8-4aec-fdca-ecf9-f036a61c2075
